iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,log_gdp,energy_poverty_flag,green_by_choice_flag
TUR,Türkiye,2018,6.275307,Europe & Central Asia,27942.9558261698,11.8739995956421,100.0,,4.446272344193958,0,0
GBR,United Kingdom,2018,6.976843,Europe & Central Asia,47145.8840978145,11.0450000762939,100.0,,4.673443784207363,0,0
USA,United States,2018,20.15406,North America,63064.4184096728,10.1071996688843,100.0,,4.799784394951651,0,0
DZA,Algeria,2018,5.262534,Middle East & North Africa,11921.7253285832,0.193299993872643,99.6419219970703,,4.076339111650914,0,0
ARG,Argentina,2018,7.699173,Latin America & Caribbean,23305.847419406,10.5207996368408,100.0,,4.367464898853281,0,0
BLR,Belarus,2018,9.746824,Europe & Central Asia,19338.6664376772,7.21979999542236,100.0,,4.286426522553264,0,0
BRA,Brazil,2018,5.63276,,15020.4382238881,47.0616989135742,99.7,,4.176682603469756,0,1
BRN,Brunei Darussalam,2018,25.09908,,61839.1175656081,0.0109000001102686,100.0,,4.791263283641165,0,0
BGR,Bulgaria,2018,7.861728,,22911.2983540279,19.5275001525879,100.0,,4.360049700800603,0,0
CIV,Côte d’Ivoire,2018,1.710556,,5154.33170207433,63.532600402832,67.1723709106445,,3.7121723637191764,1,1
HRV,Croatia,2018,6.123429,,28554.3891018959,32.8473014831543,100.0,,4.455672873220327,0,1
CYP,Cyprus,2018,6.939748,,40476.3862698991,12.1436004638672,100.0,,4.607201731769025,0,0
EGY,Egypt,2018,3.463126,,11639.2390898864,4.74440002441406,100.0,,4.065924589431986,0,0
GEO,Georgia,2018,4.652597,,14595.6306437119,27.9435997009277,99.9,,4.164222864597556,0,1
GHA,Ghana,2018,1.312229,,5302.2040053056,41.9766006469727,80.4,,3.7244564334449892,1,1
GTM,Guatemala,2018,1.868301,,8665.34726097301,64.0977020263672,94.4130096435547,,3.9377859716087835,0,1
GNB,Guinea-Bissau,2018,0.6934381,,1947.59676042334,86.7892990112305,28.5148296356201,,3.2894990434814573,1,1
GUY,Guyana,2018,6.167833,,12777.1609714904,16.8080005645752,91.2374572753906,,4.106434366233472,0,0
IDN,Indonesia,2018,3.378282,,11644.7585390353,20.863899230957,98.51,,4.066130487610779,0,1
KAZ,Kazakhstan,2018,21.34503,,26157.6596496269,1.8555999994278,100.0,,4.417598884655265,0,0
