iso3,country_name_ghg,year,ghg_per_capita,region,ghg_change_pct,ghg_change_abs
GRC,Greece,2018,8.667607,Europe & Central Asia,-23.45,-2.151
HUN,Hungary,2018,6.668178,Europe & Central Asia,-6.62,-0.398
ISL,Iceland,2018,14.01085,Europe & Central Asia,-17.54,-2.551
IRL,Ireland,2018,12.64129,Europe & Central Asia,-15.24,-1.9
ISR,Israel,2018,9.441315,Middle East & North Africa,-14.39,-1.417
ITA,Italy,2018,7.105342,Europe & Central Asia,-9.39,-0.669
JPN,Japan,2018,9.639091,East Asia & Pacific,-18.35,-1.932
KOR,Korea,2018,15.17932,East Asia & Pacific,,
LVA,Latvia,2018,5.843408,Europe & Central Asia,-1.44,-0.077
LTU,Lithuania,2018,6.951449,Europe & Central Asia,-5.17,-0.341
LUX,Luxembourg,2018,17.40738,Europe & Central Asia,-39.89,-7.75
MEX,Mexico,2018,6.075221,North America,,
NLD,Netherlands,2018,10.73006,Europe & Central Asia,-28.47,-3.128
NZL,New Zealand,2018,16.9124,East Asia & Pacific,-19.84,-3.655
NOR,Norway,2018,9.944004,Europe & Central Asia,-19.28,-2.015
POL,Poland,2018,10.67059,Europe & Central Asia,-9.57,-0.95
PRT,Portugal,2018,6.491846,Europe & Central Asia,-16.21,-0.985
SVK,Slovak Republic,2018,7.707138,Europe & Central Asia,-10.69,-0.783
SVN,Slovenia,2018,8.531396,Europe & Central Asia,-13.66,-1.105
ESP,Spain,2018,6.955995,Europe & Central Asia,-17.83,-1.222
SWE,Sweden,2018,5.05477,Europe & Central Asia,-23.73,-1.309
CHE,Switzerland,2018,5.508288,Europe & Central Asia,-23.99,-1.45
TUR,Türkiye,2018,6.275307,Europe & Central Asia,14.43,0.866
GBR,United Kingdom,2018,6.976843,Europe & Central Asia,-31.67,-2.602
USA,United States,2018,20.15406,North America,,
DZA,Algeria,2018,5.262534,Middle East & North Africa,,
ARG,Argentina,2018,7.699173,Latin America & Caribbean,,
BLR,Belarus,2018,9.746824,Europe & Central Asia,-3.37,-0.333
BRA,Brazil,2018,5.63276,,,
BRN,Brunei Darussalam,2018,25.09908,,,
